iter	RMSE
856	7969.763143
857	7959.444113
858	7955.966349
859	7948.797594
860	7941.754388
861	7941.012398
862	7940.790401
863	7935.489182
864	7927.108009
865	7919.90058
866	7914.465759
867	7911.410694
868	7909.499791
869	7904.507478
870	7896.840339
871	7888.898951
872	7886.182689
873	7882.970137
874	7879.127195
875	7875.233522
876	7868.780817
877	7862.787167
878	7854.901498
879	7854.266197
880	7845.257791
881	7839.112035
882	7838.144649
883	7828.243909
884	7825.611736
885	7822.372457
886	7819.340093
887	7814.108423
888	7803.809052
889	7803.347749
890	7795.927114
891	7793.362854
892	7792.855698
893	7787.464476
894	7780.042856
895	7773.628936
896	7769.693885
897	7767.777084
898	7759.119611
899	7756.146821
900	7748.944237
901	7748.56666
902	7740.085853
903	7737.204543
904	7733.931716
905	7733.505678
906	7732.970424
907	7731.913013
908	7729.32561
909	7724.80331
910	7721.063232
911	7717.282685
912	7704.519887
913	7703.500295
914	7703.331094
915	7698.423924
916	7685.070318
917	7681.510851
918	7679.417103
919	7674.954594
920	7673.273084
921	7672.459397
922	7670.002179
923	7668.198013
924	7664.425254
925	7658.93515
926	7658.057009
927	7655.494465
928	7649.660833
929	7645.942725
930	7642.583386
931	7640.631141
932	7639.07958
933	7638.662636
934	7633.142774
935	7621.693618
936	7618.758445
937	7611.231307
938	7607.962011
939	7604.254702
940	7601.993048
941	7599.733714
942	7599.567598
943	7596.796713
944	7592.502116
945	7585.531572
946	7585.208757
947	7584.798166
948	7577.279952
949	7569.115605
950	7564.328362
951	7558.426005
952	7556.113397
953	7552.193464
954	7549.348934
955	7545.793068
956	7544.5231
957	7544.418304
958	7537.14679
959	7535.699267
960	7525.941714
961	7525.580763
962	7523.765856
963	7515.58656
964	7511.819386
965	7502.827404
966	7499.110253
967	7496.218455
968	7494.172439
969	7491.927526
970	7488.873213
971	7478.076616
972	7477.432205
973	7476.78324
974	7472.5502
975	7467.32937
976	7458.107731
977	7457.914563
978	7451.347818
979	7445.808218
980	7438.255587
981	7434.788751
982	7434.671543
983	7425.917665
984	7425.105217
985	7420.427444
986	7419.082434
987	7413.465314
988	7411.507042
989	7407.429944
990	7405.442879
991	7397.469029
992	7392.178926
993	7376.569467
994	7372.110326
995	7366.389494
996	7354.673031
997	7352.76419
998	7348.125225
999	7339.270576
